,hru,CN2,ALPHA_BF,GW_DELAY,GWQMN,RCHRG_DP,GW_REVAP,LAT_TTIME,OV_N,SLSUBBSN,HRU_SLP,ESCO,SURLAG,EPCO,SOL_AWC,SOL_K,SOL_BD,CH_N2,CH_K2,ALPHA_BNK
0,000010000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
1,000010001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.012,,,,0.22,950.0,2.07,,,
2,000010002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.016,,,,0.22,950.0,2.07,,,
3,000020000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
4,000020001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.38,,,,0.22,950.0,2.07,,,
5,000020002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.175,,,,0.22,950.0,2.07,,,
6,000020003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.248,,,,0.22,950.0,2.07,,,
7,000020004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.123,,,,0.22,950.0,2.07,,,
8,000020005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.014,,,,0.22,950.0,2.07,,,
9,000020006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
10,000020007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.385,,,,0.22,950.0,2.07,,,
11,000020008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
12,000020009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
13,000020010,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.021,,,,0.22,950.0,2.07,,,
14,000020011,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.247,,,,0.22,950.0,2.07,,,
15,000020012,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.124,,,,0.22,950.0,2.07,,,
16,000020013,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.176,,,,0.22,950.0,2.07,,,
17,000020014,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.378,,,,0.22,950.0,2.07,,,
18,000020015,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.013,,,,0.22,950.0,2.07,,,
19,000020016,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.013,,,,0.22,950.0,2.07,,,
20,000030000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
21,000030001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.071,,,,0.22,950.0,2.07,,,
22,000030002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.014,,,,0.22,950.0,2.07,,,
23,000030003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
24,000030004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.361,,,,0.22,950.0,2.07,,,
25,000030005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.12,,,,0.22,950.0,2.07,,,
26,000030006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.011,,,,0.22,950.0,2.07,,,
27,000030007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.01,,,,0.22,950.0,2.07,,,
28,000030008,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
29,000030009,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
30,000040000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
31,000040001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.015,,,,0.22,950.0,2.07,,,
32,000040002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
33,000040003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,91.463,0.022,,,,0.22,950.0,2.07,,,
34,000040004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.068,,,,0.22,950.0,2.07,,,
35,000050000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
36,000050001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,9.146,0.39,,,,0.22,950.0,2.07,,,
37,000050002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,15.244,0.242,,,,0.22,950.0,2.07,,,
38,000050003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,18.293,0.175,,,,0.22,950.0,2.07,,,
39,000050004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,24.39,0.126,,,,0.22,950.0,2.07,,,
40,000050005,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
41,000050006,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.02,,,,0.22,950.0,2.07,,,
42,000050007,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.069,,,,0.22,950.0,2.07,,,
43,000060000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
44,000060001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,60.976,0.056,,,,0.22,950.0,2.07,,,
45,000060002,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.017,,,,0.22,950.0,2.07,,,
46,000060003,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.0,,,,0.22,950.0,2.07,,,
47,000060004,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.004,,,,0.22,950.0,2.07,,,
48,000070000,,,,,,,,,,,,,,,,,0.17,78.75,0.35
49,000070001,78.0,0.19,51.3,337.5,0.0075,0.09,0.0,0.42,121.951,0.019,,,,0.22,950.0,2.07,,,
